,asin,product,date,verified,title,desc,reviewer_name,rating
26,B00HZV9WTM,Style: BatteriesSize: AA 8 Pack,"June 2, 2020",Verified Purchase,"
Like most other rechargables
","

  These batteries work like most other rechargeable batteries.  They seem to work very well at the start but quickly fade out and lose energy the longer you use them and the more times you recharge them.  I was hoping for better quality and longer life out of these but they seem no better or no worse than any of the other rechargeable batteries on the market,  I would recommend these because they seem to have the best price.If this review was helpful to you please click helpful below!

",AverageDad,3.0
27,B00HZV9WTM,Style: BatteriesSize: AA 8 Pack,"June 1, 2020",Verified Purchase,"
Decent Batteries for cheap
","

  I had the last batch of these for 6 years. High quality for a low price. I suspect being an amazon brand they would not have any problems swapping them out if they were not good. Amazon might treat their employees like crap, but they have some great deals on great products.

",M. Crumpton,5.0
28,B00HZV9WTM,Style: BatteriesSize: AA 4 Pack,"June 1, 2020",Verified Purchase,"
Rechargeble Batteries
","

  OK

",JoePutz555,5.0
29,B00HZV9WTM,Style: BatteriesSize: AA 4 Pack,"June 1, 2020",Verified Purchase,"
Very good
","

  These have been great. Using in xbox controller and last me days compared to my old xbrand rechargeables.

",SeeSeeSights,5.0
30,B00HZV9WTM,Style: BatteriesSize: AAA 8 Pack,"May 11, 2020",Verified Purchase,"
Batteries
","

  Work well

",Larry's Kindle,5.0
31,B00HZV9WTM,Style: BatteriesSize: AAA 8 Pack,"May 11, 2020",Verified Purchase,"
Good for a while and in the right situation
","

  I found these batteries good for my initial use of them. Their effectiveness in my case dropped drastically within 6 months of buying them. I was them in a school in Indonesia where it is very humid. I suspect your environmental conditions will have a big impact on their lifespan. I have used others of these batteries in Washington State to better effect and longevity.

",Adam J. Lewis,2.0
32,B00HZV9WTM,Style: BatteriesSize: AA 8 Pack,"May 10, 2020",Verified Purchase,"
not as good as eneloop
","

  I had purchased these in hopes they were as good as the Eneloops made in Japan. So far the capacity seems to be less than 1/4 capacity. I am sorry I did not return them ASAP when I noted made in China! a mistake I will not make again. this applies to AAA and the AA I had purchased both...I wasted my money...the Eneloops are going strong the Amazon Basics...nuf said.

",RJ,2.0
33,B00HZV9WTM,Style: BatteriesSize: AA 8 Pack,"May 10, 2020",Verified Purchase,"
Not even AA size
","

  The button tops aren't even full length. Here they are in a gameboy (dmg), too short to make contact with the metal. Sent them back and got eneloops.

",Matthew Mahoney,1.0
34,B00HZV9WTM,Style: BatteriesSize: AA 8 Pack,"May 10, 2020",Verified Purchase,"
Very ""meh""
","

  These lasted only 2 years. Was not impressed with the amount of charge they held and have since upgraded to better rechargable batteries.

",Hana Krahenbuhl,3.0
35,B00HZV9WTM,Style: BatteriesSize: AA 8 Pack,"May 10, 2020",Verified Purchase,"
Received a replacement and still seeing noticeable issues with these batteries.
","

  These are poor quality rechargeable batteries. Purchased in January, and only charged 3 times and can barely hold a charge for 10 minutes of use in an Xbox controller.I received replacements a month ago, and after 3 charges they also can barely hold a charge for 10 minutes of use in an Xbox controller.Do not buy these batteries!

",Brian,1.0
36,B00HZV9WTM,Style: BatteriesSize: AA 8 Pack,"May 10, 2020",Verified Purchase,"
Wasn't why I expected from all the reviews I seen
","

  After 7 months they didn't last as long and the cover started to peel and they over heat and some won't even last a week fully charged on my tv remote

",Y Hernandez,3.0
37,B00HZV9WTM,Style: BatteriesSize: AA 8 Pack,"May 9, 2020",Verified Purchase,"
No longer made in Japan.
","

  These used to be made in Japan but as of 2020 are made in China. The old ones were a great value, Amazon please bring back the Sanyo rebranded batteries.  Until then these are a definitely no go.

",B.R.,1.0
38,B00HZV9WTM,Style: BatteriesSize: AA 8 Pack,"May 9, 2020",Verified Purchase,"
PERFECT
","

  These solar batteries work like a charm in my solar powered items on my patio.  Very pleased.  Do not know longevity yet.

",E. E. Peregory,5.0
39,B00HZV9WTM,Style: BatteriesSize: AA 8 Pack,"May 8, 2020",Verified Purchase,"
Good but nothing special
","

  It looks like normal battery, nothing special or better then other one chiper.

",Davide Zuccherino,4.0
40,B00HZV9WTM,Style: BatteriesSize: AA 8 Pack,"March 14, 2020",Verified Purchase,"
Work as expected (not charged on delivery)
","

  Work as expected, though not coming charged. So first time charging takes a little longer. Try placing them in the charger several times and they will charge well!Once charged they work flawlessly.

",XMath,5.0
41,B00HZV9WTM,Style: BatteriesSize: AA 8 Pack,"March 14, 2020",Verified Purchase,"
Great low cost investment
","

  I’m so glad I finally got rechargeable batteries! My Mac uses batteries for the keyboard and trackpad and rips through them, this just makes better economic sense. And 50% of my sons toys require batteries. They don’t appear to fully recharge, maybe get to 80%, but that’s still vastly better than buying and burning through regular, toxic batteries constantly. I got two packs so I always have the backups ready when I need them.

",S. M. Cox,4.0
42,B00HZV9WTM,Style: BatteriesSize: AA 8 Pack,"March 14, 2020",Verified Purchase,"
No full charge
","

  After a full charge and placed in remote only shows 3/4 charge. Batteries that came with charger show full charge.

",HAPPY BOATER,1.0
43,B00HZV9WTM,Style: BatteriesSize: AA 8 Pack,"March 14, 2020",Verified Purchase,"
Work great
","

  These batteries work great and last a long time

",Cara,5.0
44,B00HZV9WTM,Style: BatteriesSize: AA 8 Pack,"March 13, 2020",Verified Purchase,"
Good
","

  No issues. Holds charge for plenty of time.

",Brittany,5.0
45,B00HZV9WTM,Style: BatteriesSize: AA 4 Pack,"March 13, 2020",Verified Purchase,"
Size is a bit of an issue
","

  These batteries work very well.  However, something to note is that they are slightly thicker that normal AA batteries.  For most items that is no big deal, but for me when I put them in the device I needed them for, the battery door wouldn't close.Like I said probably not a big deal on most things, it was just that the tolerance on the door was very close and so these batteries didn't work for my purposes.

",Thomas Dixon,5.0
46,B00HZV9WTM,Style: BatteriesSize: AA 8 Pack,"March 12, 2020",Verified Purchase,"
Good
","

  Better than my Energizer ones

",Amazon Customer,5.0
47,B00HZV9WTM,Style: BatteriesSize: AA 8 Pack,"March 12, 2020",Verified Purchase,"
Did not work
","

  Died fairly quickly, wouldn't recharge.

",Ardith Deason,2.0
48,B00HZV9WTM,Style: BatteriesSize: AA 8 Pack,"March 12, 2020",Verified Purchase,"
Good batteries but
","

  Used this brand before but this time two of the eight refused to be fully charged.  10 hrs on two different chargers

",Michael H Roddy,4.0
49,B00HZV9WTM,Style: BatteriesSize: AA 8 Pack,"March 12, 2020",Verified Purchase,"
To soon to tell
","

  So far so good but the proof of quality is how they last over time with multiple recharges. Ask me again in a year.

",Paul,5.0
50,B00HZV9WTM,Style: BatteriesSize: AA 8 Pack,"March 9, 2020",Verified Purchase,"
Great Bang for your Buck
","

  Great bang for your buck haven't had any issues as of yet and have used 6 of the 8 batteries at least once

",Branson King,4.0
51,B00HZV9WTM,Style: BatteriesSize: AA 8 Pack,"March 9, 2020",Verified Purchase,"
5 Stars
","

  Good long lasting batteries at a great price.

",Scotty,5.0
52,B00HZV9WTM,Style: BatteriesSize: AAA 8 Pack,"March 9, 2020",Verified Purchase,"
Amazon rechargeable batteries
","

  Great value for rechargeable batteries

",Amazon Customer,5.0
53,B00HZV9WTM,Style: BatteriesSize: AA 8 Pack,"March 9, 2020",Verified Purchase,"
Too large in diameter
","

  These batteries are too big in diameter to be used in any of the devices I bought them for. Pretty aggravating. Why would they make a ""standard"" battery larger in diameter??!

",suzie,1.0
54,B00HZV9WTM,Style: BatteriesSize: AAA 8 Pack,"March 9, 2020",Verified Purchase,"
Did not work
","

  I tried them in various devices, from flashlight to kitchen scale. They simply did not work. Charged them again and again to no avail.

",R. P. Kohler,1.0
55,B00HZV9WTM,Style: BatteriesSize: AA 8 Pack,"March 8, 2020",Verified Purchase,"
Doesnt work in most things I wanted
","

  Thought it would be better to get rechargeable for 2 large vases I have with the tiny lights. Generally batteries will last about a month. Each uses 3 dbl AA. This don't work at all in them. Also a flameless candle I have that uses 2 dbl AA's, works for maybe half a hour....haven't tried in anything else. But would not buy again.

",Kathy Winters,2.0
56,B00HZV9WTM,Style: BatteriesSize: AA 8 Pack,"March 8, 2020",Verified Purchase,"
Great
","

  Great

",Curious,5.0
57,B00HZV9WTM,Style: BatteriesSize: AAA 8 Pack,"March 8, 2020",Verified Purchase,"
.
","

  So far great product for the price.

",LKB1,5.0
58,B00HZV9WTM,Style: BatteriesSize: AA 4 Pack,"March 7, 2020",Verified Purchase,"
Good product
","

  Good peoduct

",Jason,5.0
59,B00HZV9WTM,Style: BatteriesSize: AA 8 Pack,"March 7, 2020",Verified Purchase,"
Don't fit
","

  I bought these rechargeable batteries for my son while he is away at college.  Though they fit fine in his computer mouse, they did not fit in his toothbrush not his flashlight both of which take AA.  These AA are definitely not standard sized and will not fit in all devices which take AA.

",MistyMM77,3.0
60,B00HZV9WTM,Style: BatteriesSize: AA 8 Pack,"March 7, 2020",Verified Purchase,"
Good bang for buck, CAUTION: they're a bit big
","

  Good rechargeable option, especially if the price is right, the high capacity on these AA are a big step up. True 1.2 volts on my meter. One problem, they're a bit big. I measured them a few hundredths of an inch bigger than competitors and I'm guessing that's from the rubber-like wrapping; it led to some hassle getting it out of a MagLite

",Patrick,4.0
61,B00HZV9WTM,Style: BatteriesSize: AA 8 Pack,"March 7, 2020",Verified Purchase,"
AmazonBasics AA High-Capacity Rechargeable Batteries
","

  I use these AmazonBasics AA High-Capacity Rechargeable Batteries for a hunter camera that I setup to watch the inside of the RV I’m staying in since I have to leave on occasion and want to see what happens a while I’m away for several hours at a time. It takes a bit to recharge just like any other batteries in the category. The price for the pack of 8 is well worth it and once fully charged last several days when I turn my camera on and off periodically to record what happens while I’m out.

",Jaycoub,5.0
62,B00HZV9WTM,Style: BatteriesSize: AA 8 Pack,"March 6, 2020",Verified Purchase,"
they were dead...
","

  they did not work,

",barbara ellingson,1.0
63,B00HZV9WTM,Style: BatteriesSize: AA 8 Pack,"March 6, 2020",Verified Purchase,"
Pre-charged batteries!!!
","

  I put them to used right away and without the fear of corrosion!

",Jaime E. Ortiz,5.0
64,B00HZV9WTM,Style: BatteriesSize: AA 8 Pack,"March 5, 2020",Verified Purchase,"
Very good batteries
","

  I bought the highest capacity I could find because theres nothing more annoying when playing video games and your wireless controller starts to die. With 2 of these fully charged in my xbox one controller I can play 8 hour sessions for about 5 days. They work

",Kevin Connell,5.0
65,B00HZV9WTM,Style: BatteriesSize: AAA 8 Pack,"March 5, 2020",Verified Purchase,"
Did not meet my expectations
","

  Did not work well with cordless phones.

",Donna R. Cauthorne DC,3.0
66,B00HZV9WTM,Style: BatteriesSize: AA 8 Pack,"March 5, 2020",Verified Purchase,"
Perfect
","

  I use them for my xbox one controllers. They work perfectly

",Chris Hawkins Drums,5.0
67,B00HZV9WTM,Style: BatteriesSize: AA 4 Pack,"March 5, 2020",Verified Purchase,"
Works
","

  Works

",Nickole V.,5.0
68,B00HZV9WTM,Style: BatteriesSize: AA 8 Pack,"March 5, 2020",Verified Purchase,"
Garbage
","

  Don’t hold a charge and barely accept a charge without resetting them 5 times before they finally start the process. Once they are charged they discharge quickly, even with no use. I had a set before that worked pretty good, but the new ones I got are worthless!

",Spidey,1.0
69,B00HZV9WTM,Style: BatteriesSize: AA 8 Pack,"March 5, 2020",Verified Purchase,"
Batteries work well
","

  These are great batteries, though I feel like they didn’t last quite as long as regular batteries. Since they are rechargeable, it doesn’t matter to me that they don’t last as long because I can pop them back into the Amazon Basics charger.

",Srigs,5.0
70,B00HZV9WTM,Style: BatteriesSize: AAA 8 Pack,"March 5, 2020",Verified Purchase,"
Best value batteries
","

  Everything is great!  These batteries  work well.

",Chris D.,5.0
71,B00HZV9WTM,Style: BatteriesSize: AA 4 Pack,"March 4, 2020",Verified Purchase,"
just what I needed.
","

  I used these for my auto garbage can, that takes six batteries. I bought 12 rechargeable batteries. that has worked  great.

",BigJ,5.0
72,B00HZV9WTM,Style: BatteriesSize: AA 4 Pack,"March 4, 2020",Verified Purchase,"
AIN'T worth my time
","

  I bought 4 AA I only used 2 the other 2 never used won't charge very disappointed with this product plus bought the charger it is not a good deal

",Tim wilson,1.0
73,B00HZV9WTM,Style: BatteriesSize: AAA 8 Pack,"March 4, 2020",Verified Purchase,"
Dont waste your money
","

  What nobody tells you these and all of the rechargeable batteries only last about 1/5th as long as regular Alkalinebatteries. True you can recharge them but if you are depending on them functioning like alkaline ones, you will be sadly disappointed.

",Gerald D. McCabe,1.0
74,B00HZV9WTM,Style: BatteriesSize: AA 8 Pack,"March 4, 2020",Verified Purchase,"
Yes
","

  Works great

",Joseph Simons,5.0
75,B00HZV9WTM,Style: BatteriesSize: AA 8 Pack,"March 3, 2020",Verified Purchase,"
It works but longevity can't be measured just yet.
","

  I use these batteries in a high end handheld flash. So far so good but has yet to pass the test of time.

",Clifford Oliver,4.0
76,B00HZV9WTM,Style: BatteriesSize: AA 4 Pack,"March 2, 2020",Verified Purchase,"
Awesome for price
","

  Last long, great charging time, good quality

",Gretchen C. Luna,5.0
77,B00HZV9WTM,Style: BatteriesSize: AA 8 Pack,"March 2, 2020",Verified Purchase,"
best rechargeables
","

  I got 2 sets of 4 for my handheld Bearcat scanner. That way I can always have a charged set and one in the radio.The scanner ran much longer on these than with any rechargeables I ever used. Glad I got them.

",Gordon H. Clark,5.0
78,B00HZV9WTM,Style: BatteriesSize: AA 8 Pack,"March 2, 2020",Verified Purchase,"
Amazon rechargeables suck
","

  Product sucks takes two days to charge and only last an hour on an xbox controller how stupid

",Morse,1.0
79,B00HZV9WTM,Style: BatteriesSize: AA 8 Pack,"March 1, 2020",Verified Purchase,"
Uneven battery dischage rate
","

  The discharge rates were uneven.  I use these in dozen same LED candles. Some batteries died before others.

",Ricky,2.0
80,B00HZV9WTM,Style: BatteriesSize: AA 8 Pack,"March 1, 2020",Verified Purchase,"
I expected better from Amazon branded product
","

  Not nearly as good as I expected, basically they don't hold a charge very long - seem over rated @ 2400 mAhusing in my Panasonic Lumix 7.2 MP camera so they certainly aren't over worked.I'll probably return them but figure I'll run them for awhile and see what happens.  I've used 3 different chargers;2 Energizers (they trickle charge) and 1 Lenmar charger... same results.BTW, for comparison purposes I was very happy with the Amazon Basics 'AA' Alkaline batteries, just wish these rechargeable Batteries were as good performance wise.

",Robby Shaw,2.0
81,B00HZV9WTM,Style: BatteriesSize: AA 8 Pack,"March 1, 2020",Verified Purchase,"
Don’t last long
","

  For game controller

",Troy ,3.0
82,B00HZV9WTM,Style: BatteriesSize: AA 4 Pack,"March 1, 2020",Verified Purchase,"
Not as good as Eneloop
","

  These batteries worked out of the box but over time they will not hold a charge.  This is my first bad experience with an Amazon Basics product.  My recommendation and what I will do if I need more rechargeables is to spend a few more dollars and get the Panasonic Eneloops.

",Annomous747,2.0
83,B00HZV9WTM,Style: BatteriesSize: AA 8 Pack,"February 29, 2020",Verified Purchase,"
Wont hold a charge
","

  Save your money wont even hold a charge, charge repeatedly in energizer charge station and nothing

",C&C,2.0
84,B00HZV9WTM,Style: BatteriesSize: AA 8 Pack,"February 29, 2020",Verified Purchase,"
Great product with some defective batteries.
","

  These batteries are great for purchase. However, there is always one or more batteries that are defective. I just used these in wireless battery and the batteries started to create crust around the batteries.  Luckily I had additional spare batteries to use.

",Peter D. Kim,3.0
85,B00HZV9WTM,Style: BatteriesSize: AA 8 Pack,"February 29, 2020",Verified Purchase,"
Pre-charged?
","

  Batteries were NOT pre-charged as advertised. So far they appear to be ok.

",Amazon Customer,3.0
86,B00HZV9WTM,Style: BatteriesSize: AA 4 Pack,"February 29, 2020",Verified Purchase,"
Best results for the money
","

  Great value

",Cbparrish,5.0
87,B00HZV9WTM,Style: BatteriesSize: AAA 4 Pack,"February 29, 2020",Verified Purchase,"
Ok but too wide for lots of devices.
","

  I really liked these batteries in the beginning but there’s a problem with the width of the batteries. Since they are wider than the conventional ones, they do not fit into most of our home devices. Won’t be buying again.

",Mrs. Kay,3.0
88,B00HZV9WTM,Style: BatteriesSize: AA 8 Pack,"February 29, 2020",Verified Purchase,"
nothing to complain
","

  do the jon

",shan,5.0
89,B00HZV9WTM,Style: BatteriesSize: AA 8 Pack,"February 28, 2020",Verified Purchase,"
Use it fore everything
","

  Everything

",Herbert P.,5.0
90,B00HZV9WTM,Style: BatteriesSize: AA 8 Pack,"February 27, 2020",Verified Purchase,"
Strong
","

  The batteries last a long time I’ve used them in my controllers and flashlight and I still got a strong power worth all the money I spent

",Thomas,5.0
91,B00HZV9WTM,Style: BatteriesSize: AAA 8 Pack,"February 27, 2020",Verified Purchase,"
Long lasting
","

  I use Amazon AA and AAA for everything that needs batteries in the house. I have at least 50 batteries. They last a long time.

",Steve B,5.0
92,B00HZV9WTM,Style: BatteriesSize: AA 4 Pack,"February 27, 2020",Verified Purchase,"
As usual, Amazon products seem to be very high quality
","

  Tried these so I could compare them to the expensive Duracell rechargeable batteries. As usual, Amazon's product seems to be at least equal to the brand names. I'm glad Amazon offers more affordable versions of products so maybe consumers can save some bucks without skimping on quality!

",dlh,5.0
93,B00HZV9WTM,Style: BatteriesSize: AA 8 Pack,"February 26, 2020",Verified Purchase,"
Very Reliable
","

  These are a great value. Low cost, holds a charge a long time, easy to recharge.

",Robert J.,5.0
94,B00HZV9WTM,Style: BatteriesSize: AA 8 Pack,"February 26, 2020",Verified Purchase,"
Bedt Available
","

  great life expectancy. recharges quickly. Lasts much longer than any otherrechargables I have tried.

",Raymond Pearo,5.0
95,B00HZV9WTM,Style: BatteriesSize: AAA 8 Pack,"February 26, 2020",Verified Purchase,"
Good value
","

  Good price . Ok longetivity

",Ally's review,4.0
96,B00HZV9WTM,Style: BatteriesSize: AA 4 Pack,"February 26, 2020",Verified Purchase,"
No longevity
","

  The charge on these lasts a few hours at most. I’ve had them a couple months and they no longer charge.

",Jessica Richardson,2.0
97,B00HZV9WTM,Style: BatteriesSize: AA 8 Pack,"February 26, 2020",Verified Purchase,"
Great performance
","

  Using them on my Xbox One controllers and have to say they perform way better than 3 other comparable price brands. Def worth it.

",Roro,5.0
98,B00HZV9WTM,Style: BatteriesSize: AA 8 Pack,"February 26, 2020",Verified Purchase,"
Works great
","

  Amazing batteries.

",Lockaby32,5.0
99,B00HZV9WTM,Style: BatteriesSize: AA 4 Pack,"February 25, 2020",Verified Purchase,"
Not the same as the picture
","

  I bought these expecting to get what the product image shows: green batteries with a grey top and made in Japan. Instead I got grey batteries with green tops and made in China. Thankfully Amazon quickly gave me a refund.

",randir14,3.0
100,B00HZV9WTM,Style: BatteriesSize: AA 8 Pack,"February 25, 2020",Verified Purchase,"
Need longer life once charged to me
","

  These seem to not hold a charge very long. I’ve tried them like 3 dif times. As in once charged the last in my remote about 1/3 the time of store non-recharging batteries.  They do last in smoke alarms about a year off a charge.

",GET DIESEL,3.0
101,B00HZV9WTM,Style: BatteriesSize: AAA 8 Pack,"February 25, 2020",Verified Purchase,"
Value for money
","

  Using for remote and kids toys. So far good.

",Piyush,5.0
102,B00HZV9WTM,Style: BatteriesSize: AA 8 Pack,"February 24, 2020",Verified Purchase,"
You can't beat these for the price.
","

  I've ordered these twice now.  They last for an incredibly long time and I use them in everything that requires AAs.  There's no need to buy regular batteries anymore.

",D Johnston,5.0
103,B00HZV9WTM,Style: BatteriesSize: AA 8 Pack,"February 24, 2020",Verified Purchase,"
Perfect for solar lights
","

  Fixed my expensive solar lights

",virginia A. Larsen,5.0
104,B00HZV9WTM,Style: Batteries and Battery ChargerSize: AA 4 Pack,"February 23, 2020",Verified Purchase,"
Good
","

  Used with Amazon brand charger

",mircko mojorovich,5.0
105,B00HZV9WTM,Style: BatteriesSize: AA 8 Pack,"February 23, 2020",Verified Purchase,"
Stopped working after a month
","

  6 out of 8 batteries were not getting recharged after one month. Very disappointed.

",Karen,1.0
106,B00HZV9WTM,Style: BatteriesSize: AAA 4 Pack,"February 23, 2020",Verified Purchase,"
Perfect
","

  Very nice

",Mcgyver496,5.0
107,B00HZV9WTM,Style: BatteriesSize: AA 8 Pack,"February 22, 2020",Verified Purchase,"
Work ok
","

  They seem to do what batteries do.

",wildman,4.0
108,B00HZV9WTM,Style: BatteriesSize: AA 4 Pack,"February 22, 2020",Verified Purchase,"
No issues.  Just a solid rechargable battery.
","

  A+

",Adam Feldman,5.0
109,B00HZV9WTM,Style: BatteriesSize: AA 8 Pack,"February 21, 2020",Verified Purchase,"
Got what expected
","

  Works great!

",William McKay,5.0
110,B00HZV9WTM,Style: BatteriesSize: AA 8 Pack,"February 21, 2020",Verified Purchase,"
Do not buy
","

  These are really atrocious, won’t hold a charge for more than a few days.

",Naren Hulsing,1.0
111,B00HZV9WTM,Style: BatteriesSize: AA 4 Pack,"February 21, 2020",Verified Purchase,"
Exelent
","

  Exelent

",Sugeyz zambrano,5.0
112,B00HZV9WTM,Style: BatteriesSize: AAA 8 Pack,"February 20, 2020",Verified Purchase,"
They work
","

  They work their batteries

",Rick,5.0
113,B00HZV9WTM,Style: BatteriesSize: AA 8 Pack,"February 20, 2020",Verified Purchase,"
Arrived with contents missing
","

  I watched on my Ring floodlight, the Amazon delivery person drop off the yellow envelope. When I went to pick it up, it was empty; it should have had 8 rechargeable batteries. i talked to a call center rep who said not to worry about this, but now I received an email reminding me to send back the batteries for a replacement.

",a brother in Christ,1.0
114,B00HZV9WTM,Style: BatteriesSize: AAA 4 Pack,"February 20, 2020",Verified Purchase,"
Feliz con la compra
","

  Contento con el producto.

",Alexander Jaramillo Hernández,5.0
